total_votes,weighted_average_vote,imdb_title_id,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
537,6.1,tt0000574,6.2,5.9,6.4,6.1,6.1,89.0,309.0
171,5.9,tt0001892,5.7,6.0,6.3,6.0,5.7,27.0,114.0
420,5.2,tt0002101,4.6,5.1,5.3,5.0,5.8,197.0,103.0
2019,7.0,tt0002130,7.0,7.0,7.1,7.0,7.2,452.0,1076.0
438,5.7,tt0002199,5.7,5.6,5.9,5.8,5.4,161.0,164.0
709,6.8,tt0002423,6.5,6.6,7.0,6.7,7.4,133.0,428.0
241,6.2,tt0002445,5.9,6.3,6.2,6.2,6.1,37.0,140.0
187,6.7,tt0002452,7.2,6.7,6.6,6.7,6.7,23.0,131.0
211,5.5,tt0002461,5.1,5.5,5.8,5.5,6.5,102.0,66.0
310,6.7,tt0002646,6.2,6.7,7.0,6.6,7.0,65.0,169.0
1853,7.0,tt0002844,6.9,6.9,7.2,6.9,7.5,549.0,978.0
888,7.1,tt0003014,7.0,7.0,7.2,7.0,7.5,202.0,489.0
1295,7.0,tt0003037,6.8,6.9,7.1,6.9,7.2,384.0,688.0
112,6.7,tt0003131,6.2,6.6,7.3,6.7,6.3,9.0,76.0
1000,7.0,tt0003165,6.8,6.9,7.2,6.9,7.5,300.0,541.0
170,5.7,tt0003167,5.4,5.4,5.8,5.6,5.6,52.0,70.0
1645,6.5,tt0003419,6.5,6.5,6.5,6.5,6.7,338.0,921.0
527,6.1,tt0003471,5.5,5.8,6.4,6.0,6.4,243.0,173.0
458,6.2,tt0003489,6.0,5.9,6.5,6.2,6.1,153.0,189.0
357,6.5,tt0003637,6.3,6.2,6.8,6.4,7.0,73.0,203.0
1050,6.5,tt0003643,6.4,6.4,6.6,6.5,6.9,576.0,321.0
121,6.6,tt0003657,6.8,5.7,6.9,6.6,6.5,46.0,47.0
2838,7.1,tt0003740,7.0,7.0,7.3,7.1,6.9,1002.0,1216.0
908,6.1,tt0003772,6.0,6.1,6.1,6.0,6.4,587.0,229.0
279,7.6,tt0003883,7.1,7.4,7.7,7.5,7.7,82.0,154.0
1112,7.0,tt0003930,6.8,6.9,7.0,6.9,7.4,332.0,601.0
885,6.9,tt0003952,6.8,6.7,7.1,6.8,7.6,264.0,476.0
181,5.9,tt0003973,5.7,5.5,6.3,5.8,6.2,71.0,65.0
1008,6.8,tt0004026,6.3,6.7,7.2,6.8,6.4,413.0,356.0
449,7.0,tt0004066,6.5,7.0,7.2,7.0,7.2,93.0,259.0
