imdb_title_id,total_votes,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
tt0000574,537,6.1,6.2,5.9,6.4,6.1,6.1,89,309
tt0001892,171,5.9,5.7,6,6.3,6,5.7,27,114
tt0002101,420,5.2,4.6,5.1,5.3,5,5.8,197,103
tt0002130,2019,7,7,7,7.1,7,7.2,452,1076
tt0002199,438,5.7,5.7,5.6,5.9,5.8,5.4,161,164
tt0002423,709,6.8,6.5,6.6,7,6.7,7.4,133,428
tt0002445,241,6.2,5.9,6.3,6.2,6.2,6.1,37,140
tt0002452,187,6.7,7.2,6.7,6.6,6.7,6.7,23,131
tt0002461,211,5.5,5.1,5.5,5.8,5.5,6.5,102,66
tt0002646,310,6.7,6.2,6.7,7,6.6,7,65,169
tt0002844,1853,7,6.9,6.9,7.2,6.9,7.5,549,978
tt0003014,888,7.1,7,7,7.2,7,7.5,202,489
tt0003037,1295,7,6.8,6.9,7.1,6.9,7.2,384,688
tt0003131,112,6.7,6.2,6.6,7.3,6.7,6.3,9,76
tt0003165,1000,7,6.8,6.9,7.2,6.9,7.5,300,541
tt0003167,170,5.7,5.4,5.4,5.8,5.6,5.6,52,70
tt0003419,1645,6.5,6.5,6.5,6.5,6.5,6.7,338,921
tt0003471,527,6.1,5.5,5.8,6.4,6,6.4,243,173
tt0003489,458,6.2,6,5.9,6.5,6.2,6.1,153,189
tt0003637,357,6.5,6.3,6.2,6.8,6.4,7,73,203
tt0003643,1050,6.5,6.4,6.4,6.6,6.5,6.9,576,321
tt0003657,121,6.6,6.8,5.7,6.9,6.6,6.5,46,47
tt0003740,2838,7.1,7,7,7.3,7.1,6.9,1002,1216
tt0003772,908,6.1,6,6.1,6.1,6,6.4,587,229
tt0003883,279,7.6,7.1,7.4,7.7,7.5,7.7,82,154
tt0003930,1112,7,6.8,6.9,7,6.9,7.4,332,601
tt0003952,885,6.9,6.8,6.7,7.1,6.8,7.6,264,476
tt0003973,181,5.9,5.7,5.5,6.3,5.8,6.2,71,65
tt0004026,1008,6.8,6.3,6.7,7.2,6.8,6.4,413,356
tt0004066,449,7,6.5,7,7.2,7,7.2,93,259
tt0004099,398,5.2,5.1,5.1,5.4,5.4,4.1,194,132
tt0004134,429,6.6,6.3,6.5,6.8,6.5,7.2,208,130
tt0004150,378,5.9,6,5.6,6.2,5.8,6.6,143,161
tt0004181,1195,6.1,6.3,6.3,5.8,6.2,5.8,582,415
tt0004457,354,5.5,4.9,5.3,6.1,5.5,5.3,165,111
tt0004465,921,6.4,5.8,6.4,6.4,6.3,6.5,581,234
tt0004635,802,5.8,5.8,5.5,6.1,5.8,6,455,211
tt0004681,154,6.3,5.9,5.8,6.8,6.2,6.4,58,66
tt0004707,3164,6.3,6.2,6.2,6.5,6.3,6.6,1529,1025
tt0004712,157,6.3,6.7,6.3,6.2,6.3,6.9,14,104
tt0004766,160,5.6,5.7,5.3,5.7,5.5,5.9,53,67
tt0004825,209,6.6,6.9,6.4,6.8,6.6,6.2,78,105
tt0004838,130,5.7,5.5,5.4,6.2,5.7,5.8,39,65
tt0004872,196,6.7,6.4,6.7,6.9,6.7,6.9,96,58
